,classe,polaridade,subjetividade,tamanho_medio_palavra,tamanho_medio_sentenca,num_exclamacoes,num_maiusculas,proporcao_stopwords,diversidade_lexica,num_numeros,entidades_nomeadas,proporcao_pronomes,num_links
193,1,-0.02416125541125541,0.5014069264069263,4.717948717948718,20.53846153846154,1,6,0.3857677902621723,0.5341880341880342,2,28,0.052434456928838954,0
194,0,0.022647306397306395,0.4916991341991341,4.66798418972332,24.23076923076923,0,4,0.4174603174603175,0.4041501976284585,23,88,0.06984126984126984,0
195,1,0.12609126984126984,0.5201499118165784,4.667315175097277,21.205882352941178,3,22,0.3342579750346741,0.42023346303501946,20,60,0.07350901525658807,1
196,0,0.04128787878787878,0.45568181818181813,5.447058823529412,32.333333333333336,0,1,0.29896907216494845,0.7411764705882353,0,14,0.05154639175257732,0
197,1,-0.07061147186147188,0.52623556998557,4.610047846889952,19.25925925925926,0,12,0.37884615384615383,0.49521531100478466,1,33,0.04807692307692308,0
198,1,0.07142857142857144,0.8892857142857143,5.0,23.0,0,7,0.31521739130434784,0.8311688311688312,2,12,0.03260869565217391,1
199,0,0.06599999999999999,0.31566666666666665,5.0139664804469275,22.736842105263158,0,2,0.33796296296296297,0.49441340782122906,18,48,0.020833333333333332,0
200,0,0.038622835497835496,0.32336309523809526,4.715151515151515,25.875,0,4,0.3333333333333333,0.5515151515151515,19,22,0.01932367149758454,0
201,0,0.059619316615284364,0.4215145853250692,4.3769063180827885,17.835051546391753,0,30,0.43872832369942194,0.35584604212055193,43,112,0.11040462427745665,0
202,0,0.09687499999999999,0.30440705128205126,5.038461538461538,45.0,0,2,0.32222222222222224,0.7307692307692307,1,14,0.05555555555555555,0
203,1,0.04,0.52,4.418181818181818,22.333333333333332,0,0,0.44776119402985076,0.8,5,6,0.029850746268656716,0
204,1,0.05488095238095238,0.3645578231292517,4.663917525773196,26.476190476190474,0,5,0.4352517985611511,0.4515463917525773,4,27,0.07194244604316546,0
205,1,0.06269841269841267,0.3887896825396825,4.795698924731183,13.0,0,8,0.41346153846153844,0.7741935483870968,2,8,0.038461538461538464,0
206,1,-0.050333333333333334,0.473,4.561290322580645,19.61111111111111,1,8,0.43626062322946174,0.567741935483871,1,12,0.07932011331444759,0
207,0,-0.019505553369189743,0.3217018671564127,4.962287104622871,25.907894736842106,0,18,0.4012188928390046,0.36009732360097324,30,180,0.04824784154393093,0
208,1,0.046875450937950945,0.3938077200577201,4.976608187134503,29.666666666666668,0,7,0.4242696629213483,0.37161084529505584,22,270,0.05573033707865169,0
209,1,-0.16999999999999998,0.48,4.835820895522388,12.666666666666666,0,12,0.40789473684210525,0.7761194029850746,0,2,0.07894736842105263,0
210,1,-0.014618844696969696,0.4437499999999999,5.0405982905982905,20.62962962962963,9,9,0.38240574506283664,0.47435897435897434,9,42,0.05206463195691203,1
211,1,0.1171606691919192,0.47161773989899,4.8121546961325965,24.27777777777778,0,1,0.41647597254004576,0.4889502762430939,25,46,0.059496567505720827,0
212,0,0.27611111111111103,0.5994444444444444,4.554455445544554,60.0,0,1,0.43333333333333335,0.6534653465346535,0,17,0.08333333333333333,0
213,0,0.11950757575757572,0.36327861952861956,4.689542483660131,29.923076923076923,0,0,0.37789203084832906,0.48366013071895425,29,50,0.012853470437017995,0
214,1,0.005714285714285722,0.3519047619047619,5.375438596491228,32.45454545454545,2,29,0.32492997198879553,0.5719298245614035,19,35,0.036414565826330535,0
215,0,0.05855263157894737,0.22258771929824558,5.152354570637119,29.0,0,3,0.43349753694581283,0.5069252077562327,3,54,0.06403940886699508,0
216,1,0.22342532467532467,0.44926587301587306,4.402941176470589,22.68421052631579,0,1,0.4222737819025522,0.48823529411764705,9,13,0.08352668213457076,1
217,0,0.11187417654808962,0.36284584980237156,4.938679245283019,35.142857142857146,0,3,0.3943089430894309,0.6509433962264151,3,30,0.052845528455284556,0
218,0,0.14366883116883117,0.3388528138528138,4.451957295373665,27.0,0,5,0.4672364672364672,0.48398576512455516,3,28,0.10541310541310542,0
219,0,-0.021130952380952372,0.244047619047619,5.254437869822485,31.526315789473685,0,1,0.38397328881469117,0.45759368836291914,12,49,0.04006677796327212,0
220,1,0.04190027452222574,0.47998891352549883,5.0583850931677015,34.51851851851852,0,11,0.3969957081545064,0.4372670807453416,10,84,0.04291845493562232,0
221,0,0.08333333333333334,0.4,5.738095238095238,48.0,0,1,0.3333333333333333,0.7380952380952381,0,9,0.08333333333333333,0
222,0,0.06287878787878788,0.3051515151515152,5.5177304964539005,55.0,0,1,0.23636363636363636,0.7588652482269503,0,32,0.030303030303030304,0
223,0,0.055396471720001145,0.400987041281159,4.8496296296296295,31.0,0,22,0.4068100358422939,0.36,46,152,0.05197132616487455,0
224,1,0.012316647812971348,0.5305601567550096,4.336283185840708,24.88888888888889,0,37,0.42028061224489793,0.3797264682220434,41,56,0.09438775510204081,0
225,0,0.06510416666666666,0.5114583333333333,5.402214022140221,25.692307692307693,0,5,0.31736526946107785,0.5571955719557196,10,42,0.029940119760479042,0
226,1,0.006410256410256421,0.32948717948717954,5.071246819338422,23.35,1,33,0.37901498929336186,0.46055979643765904,12,56,0.047109207708779445,0
227,1,0.16613756613756608,0.5375755857898715,4.457894736842105,18.444444444444443,0,15,0.45180722891566266,0.44912280701754387,1,43,0.10692771084337349,0
228,1,0.02526881720430108,0.28521505376344086,4.680327868852459,38.09090909090909,0,7,0.4439140811455847,0.48633879781420764,10,38,0.057279236276849645,0
229,0,0.10701327951327949,0.4272268047268048,4.774358974358974,26.446428571428573,0,18,0.39702903443619175,0.4324786324786325,24,128,0.07089804186360567,0
230,1,0.07938463583200424,0.421287119313435,4.693913043478261,23.142857142857142,0,24,0.4058641975308642,0.48,5,71,0.047839506172839504,0
231,0,0.05964646464646465,0.44274350649350636,5.040051679586563,35.0,0,0,0.42857142857142855,0.41214470284237725,14,48,0.05934065934065934,0
232,0,0.17752525252525256,0.5410894660894662,4.912052117263844,27.46153846153846,0,11,0.38375350140056025,0.4755700325732899,7,59,0.06442577030812324,0
233,1,0.03874348958333333,0.4896986607142857,4.502849002849003,33.833333333333336,2,21,0.44950738916256155,0.42165242165242167,6,43,0.11206896551724138,0
234,0,0.0,0.3020833333333333,4.932515337423313,23.5,0,4,0.3191489361702128,0.5276073619631901,1,18,0.005319148936170213,0
235,1,0.08183621933621933,0.3655866702741703,4.961685823754789,29.5,0,9,0.3898305084745763,0.6206896551724138,8,31,0.04406779661016949,0
236,0,0.10661655066066833,0.49385125767478705,4.907645722937168,29.303571428571427,0,11,0.40706886045094454,0.37698713096139286,16,165,0.06093845216331505,0
237,1,0.23529942279942276,0.5599927849927849,4.467136150234742,25.473684210526315,2,12,0.4690082644628099,0.5070422535211268,3,13,0.0743801652892562,0
238,1,0.03935883935883935,0.48904683904683904,4.372143634385202,14.932432432432432,3,15,0.43529411764705883,0.4134929270946681,5,62,0.09864253393665158,2
239,1,0.07647058823529412,0.37352941176470594,5.263513513513513,41.2,0,39,0.15048543689320387,0.5675675675675675,11,29,0.0048543689320388345,2
240,1,-0.16385003885003882,0.575,4.338181818181818,18.944444444444443,2,10,0.44281524926686217,0.5127272727272727,7,26,0.04398826979472141,1
241,1,0.17776143790849674,0.48949220713926594,4.601895734597156,22.454545454545453,1,12,0.41700404858299595,0.556872037914692,9,48,0.07894736842105263,0
242,1,0.06323317205670148,0.48461983278159737,4.853760445682451,22.885714285714286,0,11,0.48564294631710364,0.45403899721448465,8,52,0.08364544319600499,0
243,1,0.06363636363636364,0.4954545454545455,4.56,15.357142857142858,1,1,0.44651162790697674,0.56,1,18,0.13023255813953488,0
244,1,0.0,0.0,5.25,13.0,0,4,0.3076923076923077,1.0,1,1,0.0,0
245,1,0.042792207792207784,0.3705871212121212,4.988059701492538,31.16,0,23,0.3940949935815148,0.4507462686567164,5,89,0.05648267008985879,0
246,1,0.09197137188208615,0.4913265306122449,4.434782608695652,22.08695652173913,1,12,0.4311023622047244,0.45308924485125857,6,45,0.0610236220472441,0
247,0,0.007692307692307693,0.3243589743589743,4.753333333333333,19.444444444444443,0,5,0.36,0.6133333333333333,0,22,0.07428571428571429,0
248,1,0.13595930735930734,0.5112952380952381,4.676470588235294,20.08695652173913,0,10,0.4458874458874459,0.5245098039215687,6,23,0.07792207792207792,0
249,0,0.12055555555555557,0.37833333333333335,4.856716417910448,34.81818181818182,0,4,0.4073107049608355,0.45671641791044776,8,34,0.044386422976501305,0
250,0,0.06674057649667406,0.3803954175905396,5.21957671957672,36.19230769230769,0,13,0.35069075451647186,0.43915343915343913,18,118,0.022316684378320937,0
251,1,0.075410592808552,0.3896566245545839,4.485347985347985,21.79310344827586,0,7,0.43670886075949367,0.47435897435897434,6,28,0.08860759493670886,0
252,1,-0.028787878787878793,0.5797348484848486,4.469135802469136,32.0,0,5,0.4166666666666667,0.8024691358024691,2,14,0.041666666666666664,0
253,1,0.08363508246685816,0.4739745586708202,4.999240698557327,19.814814814814813,5,10,0.42429906542056073,0.39711465451784356,26,58,0.07289719626168224,2
254,0,0.021872294372294376,0.40858225108225105,5.013996889580094,24.419354838709676,0,1,0.41215323645970936,0.4821150855365474,16,74,0.05151915455746367,0
255,0,0.21785594035594033,0.5698431403986959,4.275725593667546,26.90909090909091,0,14,0.5045045045045045,0.44327176781002636,19,72,0.09684684684684684,0
256,1,0.03978363177226814,0.5186639938344485,4.465392561983471,14.354285714285714,10,74,0.429140127388535,0.36828512396694213,23,114,0.11464968152866242,0
257,1,0.22228520067503113,0.4749922393990191,4.664939550949914,25.96153846153846,0,0,0.44592592592592595,0.43005181347150256,4,27,0.06814814814814815,0
258,1,0.018678589170392446,0.29181569796323903,4.893684210526316,24.541666666666668,2,16,0.3870967741935484,0.4242105263157895,21,88,0.0365025466893039,0
259,0,0.087229099025974,0.3791862824675325,5.028006589785832,22.734375,0,12,0.41855670103092785,0.36820428336079075,17,96,0.058419243986254296,0
260,0,0.08750000000000001,0.0625,4.770053475935829,16.666666666666668,0,3,0.364,0.5240641711229946,0,24,0.048,1
